NumberofFloors,PropertyGFABuilding(s),ENERGYSTARScore,BuildingAge,Energy_per_m2,Carbon_intensity_ratio,Age_x_Size,ENERGY_vs_type_mean
4,104500,91.0,16,62.0705980861244,6.971533802958585e-06,1672000,2628999.7780914395
2,104786,93.0,47,9.814067480388601,2.320161079079107e-05,4924942,1334609.24919344
1,53620,86.0,68,38.399016225289074,1.0743312658203718e-05,3646160,2628999.7780914395
1,50008,62.0,78,64.03401455767077,2.039214755545618e-05,3900624,2628999.7780914395
1,50832,63.0,59,50.185360599622285,4.200668967117006e-05,2999088,1334609.24919344
1,76354,70.0,45,37.234899284909766,7.13674320052859e-06,3435930,1504418.3375
1,98480,65.0,60,28.75269597887896,1.3949880375361262e-05,5908800,1334609.24919344
2,53002,75.0,112,64.93421474661334,1.8595768169754376e-05,5936224,2274415.943082143
7,94002,70.0,46,60.23525031382311,6.970746881884429e-06,4324092,2628999.7780914395
1,93020,60.0,42,13.462952859600087,6.97104013927707e-06,3906840,1334609.24919344
5,78920,88.0,112,35.86764761784085,6.970069592064578e-06,8839040,2628999.7780914395
7,99440,64.0,110,66.44039119066774,2.038647112667076e-05,10938400,2628999.7780914395
6,73260,82.0,109,38.94607562107562,6.971145800165044e-06,7985340,2628999.7780914395
4,69817,87.0,116,31.19690762994686,3.526050187906796e-05,8098772,2628999.7780914395
6,73470,83.0,107,43.72218592622839,6.9701510054108176e-06,7861290,2628999.7780914395
3,56700,37.0,106,41.826719576719576,1.3316045244194258e-05,6010200,2628999.7780914395
1,82852,83.0,94,25.99337976150244,3.0442001046153575e-05,7788088,1334609.24919344
2,92792,56.0,54,34.006121217346326,2.350819015457475e-05,5010768,1418871.6024444446
4,103200,80.0,116,42.389980620155036,6.971992705238321e-06,11971200,2628999.7780914395
1,78814,69.0,62,10.936798982414292,1.911893109165413e-05,4886468,1334609.24919344
6,64800,15.0,106,41.491909722222225,6.969973973246867e-06,6868800,1418871.6024444446
4,66842,31.0,112,83.90832859579307,2.4667472750109407e-05,7486304,2628999.7780914395
6,64488,81.0,107,44.83942749038581,6.978823179514491e-06,6900216,2628999.7780914395
3,60592,16.0,86,83.33520101663586,9.357461258377527e-06,5210912,2628999.7780914395
1,107930,57.0,23,66.90894561289724,1.390573196016192e-05,2482390,2274415.943082143
1,99084,83.0,90,16.330692896935933,3.0436737048917322e-05,8917560,1334609.24919344
1,72719,28.0,63,35.502987527331236,1.6554715435809954e-05,4581297,1418871.6024444446
1,56572,66.0,43,42.59048645973273,2.7927778739278065e-05,2432596,2274415.943082143
7,94500,68.0,29,61.30080423280423,6.9705706580750385e-06,2740500,2247036.2352941176
