NumberofFloors,PropertyGFABuilding(s)_log,LargestPropertyUseType,LargestPropertyUseTypeGFA,Latitude,Longitude,NumberOfPropertyUseTypes,BuildingAge,Age_x_Size_log,Floor_density,size_x_type_mean,PrimaryPropertyType_Distribution Center,PrimaryPropertyType_Hotel,PrimaryPropertyType_K-12 School,PrimaryPropertyType_Large Office,PrimaryPropertyType_Low-Rise Multifamily,PrimaryPropertyType_Medical Office,PrimaryPropertyType_Mixed Use Property,PrimaryPropertyType_Other,PrimaryPropertyType_Refrigerated Warehouse,PrimaryPropertyType_Residence Hall,PrimaryPropertyType_Restaurant,PrimaryPropertyType_Retail Store,PrimaryPropertyType_Self-Storage Facility,PrimaryPropertyType_Senior Care Community,PrimaryPropertyType_Small- and Mid-Sized Office,PrimaryPropertyType_Supermarket / Grocery Store,PrimaryPropertyType_University,PrimaryPropertyType_Warehouse,PrimaryPropertyType_Worship Facility,SiteEnergyUse(kBtu)
1,10.607698305452052,Worship Facility,40445.0,47.66327,-122.37439,1,41,14.321270372156361,40445.0,32669.727272727272,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,786253.6875
1,10.06475570013225,Retail Store,23500.0,47.66318,-122.37283,1,20,13.060487973686241,23500.0,38211.08571428571,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,1137967.5
1,10.017708696626151,Retail Store,23067.0,47.67518,-122.36549,1,49,13.909528994736778,22420.0,38211.08571428571,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,1404253.75
3,10.180702535638066,Office,16766.0,47.65018,-122.37787,2,24,13.358756365986011,8796.333333333334,43853.04391891892,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,1208035.375
3,10.160413981817907,Office,25859.0,47.65252,-122.37587,2,34,13.686774506434068,8619.666666666666,43853.04391891892,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,858780.625
1,10.150347630467653,Non-Refrigerated Warehouse,20600.0,47.66238,-122.38831,2,42,13.888017248751023,25600.0,42790.2891566265,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,1730600.625
4,10.41586197629197,Office,33385.0,47.66106,-122.38576,2,8,12.495303517971806,8346.25,43853.04391891892,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,1294615.25
1,10.398488625955148,Retail Store,32810.0,47.6917,-122.37617,1,27,13.694325491959477,32810.0,38211.08571428571,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,2017967.75
3,10.341387581787455,Self-Storage Facility,30989.0,47.64455,-122.37581,1,36,13.924906520243564,10329.666666666666,47629.375,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,97690.39844
3,10.595434012519554,Self-Storage Facility,39952.0,47.64418,-122.37587,1,101,15.210554529360813,13317.333333333334,47629.375,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,57133.19922
2,9.904586947979428,Office,20784.0,47.65504,-122.37402,1,55,13.9119201332119,10011.0,43853.04391891892,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,657385.8125
2,10.505012743548761,Distribution Center,18229.0,47.65563,-122.37194,2,56,14.530364434283909,18249.0,45433.204545454544,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,520011.8125
1,10.48977309131198,Distribution Center,31845.0,47.66161,-122.39075,2,48,14.36097410221987,35946.0,45433.204545454544,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,469499.8125
4,10.10528488583074,Office,25184.0,47.66006,-122.38631,2,9,12.30250946316696,6118.0,43853.04391891892,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,845044.125
4,10.015252515866948,Office,21617.0,47.65881,-122.38382,1,37,13.626170428511173,5591.25,43853.04391891892,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,727385.8125
4,10.314669620973522,Office,30172.0,47.65801,-122.3839,1,22,13.405712074331838,7543.0,43853.04391891892,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,904059.875
4,10.657259354912508,Non-Refrigerated Warehouse,42500.0,47.66353,-122.38064,2,89,15.145895724644648,10625.0,42790.2891566265,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,241478.5938
4,10.044639832292011,Office,14448.0,47.66691,-122.38416,3,115,14.789571960655262,5758.0,43853.04391891892,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,1121537.75
2,10.06475570013225,Office,23500.0,47.66497,-122.38047,1,48,13.935956711040141,11750.0,43853.04391891892,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,1686405.0
1,10.011534456619263,Office,22282.0,47.66431,-122.37988,1,50,13.923557462047407,22282.0,43853.04391891892,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,579888.3125
2,10.085809109330082,Self-Storage Facility,24000.0,47.66351,-122.37961,1,114,14.822007557724579,12000.0,47629.375,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,502898.6875
2,10.532096211958502,Office,37500.0,47.719,-122.29966,1,85,14.974747468448818,18750.0,43853.04391891892,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,2235765.5
3,10.085100525010166,K-12 School,23983.0,47.73143,-122.32784,1,86,14.539447821263673,7994.333333333333,49016.5,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1164364.75
1,10.089967119478747,Distribution Center,20100.0,47.55832,-122.35239,2,36,13.673486057934856,24100.0,45433.204545454544,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,809870.8125
3,10.406139865612957,Parking,24052.0,47.68582,-122.33709,3,20,13.401872139166949,11020.666666666666,40729.0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,2450442.75
2,9.918080554839028,Other,18000.0,47.65843,-122.38435,2,59,13.995617998744748,10147.0,38299.84905660377,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,1735995.75
4,10.299642791318515,Office,24008.0,47.65708,-122.38383,1,33,13.796150352784995,7430.5,43853.04391891892,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,1286817.375
4,10.167696268802267,Office,41707.0,47.65649,-122.38383,2,33,13.664203830268747,6512.0,43853.04391891892,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,1755788.5
2,10.962041443958253,Office,20176.0,47.65118,-122.37875,3,56,14.987393134693402,28822.0,43853.04391891892,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,2189735.0
